People,"Population estimates, July 1, 2014,  (V2014)
","Persons under 5 years, percent, July 1, 2013,  (V2013)","Persons under 18 years, percent, July 1, 2013,  (V2013)","Persons 65 years and over, percent,  July 1, 2013,  (V2013)","Female persons, percent,  July 1, 2013,  (V2013)","White alone, percent, July 1, 2013,  (V2013)  (a)","Black or African American alone, percent, July 1, 2013,  (V2013)  (a)","American Indian and Alaska Native alone, percent, July 1, 2013,  (V2013)  (a)","Asian alone, percent, July 1, 2013,  (V2013)  (a)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2013,  (V2013)  (a)","Two or More Races, percent, July 1, 2013,  (V2013)","Hispanic or Latino, percent, July 1, 2013,  (V2013)  (b)","White alone, not Hispanic or Latino, percent, July 1, 2013,  (V2013)","Households, 2009-2013","Persons per household, 2009-2013","High school graduate or higher, percent of persons age 25 years+, 2009-2013","Bachelor's degree or higher, percent of persons age 25 years+, 2009-2013","Veterans, 2009-2013","With a disability, under age 65 years, percent, 2009-2013","Living in same house 1 year ago, percent of persons age 1 year+, 2009-2013","Foreign born persons, percent, 2009-2013","Language other than English spoken at home, percent of persons age 5 years+, 2009-2013","In civilian labor force, total, percent of population age 16 years+, 2009-2013","In civilian labor force, female, percent of population age 16 years+, 2009-2013","Mean travel time to work (minutes), workers age 16 years+, 2009-2013","Median household income (in 2013 dollars), 2009-2013","Owner-occupied housing unit rate, 2009-2013","Median value of owner-occupied housing units, 2009-2013","Median gross rent, 2009-2013 ","Persons  without health insurance, under age 65 years, percent","Persons in poverty, percent","Total employer establishments, 2012","Total employment, 2012","Total annual payroll, 2012","Total nonemployer establishments, 2012","All firms, 2007","Men-owned firms, 2007","Women-owned firms, 2007","Minority-owned firms, 2007","Nonminority-owned firms, 2007","Veteran-owned firms, 2007","Nonveteran-owned firms, 2007","Building permits, 2013","Population per square mile, 2010 "
Alabama,4849377,6.1,23,14.9,51.5,69.8,26.6,0.7,1.3,0.1,1.5,4.1,66.4,1838683,2.55,83.1,22.6,388865,11.9,85,3.5,5.2,59,53.9,24.2,43253,69.7,122500,705,15.8,18.7,97938,1585761,61284931,315382,382350,204661,107467,70538,298292,45085,306752,11763,94.4
AriNAona,6731484,6.5,24.4,15.4,50.3,84,4.6,5.3,3.2,0.3,2.6,30.3,56.7,2370289,2.67,85.7,26.9,522382,7.9,80.4,13.4,26.8,60.3,55.4,24.6,49774,64.4,165100,896,20.1,18.6,131375,2134252,90838616,413571,491529,219755,138055,85227,372267,48039,391260,25209,56.3
Arkansas,2966369,6.5,24,15.4,50.9,79.9,15.6,1,1.5,0.3,1.9,6.9,73.7,1129723,2.53,83.7,20.1,237311,12.3,83.6,4.5,7.2,59.4,54.5,21.3,40768,66.7,107300,661,18.8,19.7,64815,978519,35633588,192746,238994,115411,58572,23637,204047,24842,188808,7481,56
California,38802500,6.5,23.9,12.5,50.3,73.5,6.6,1.7,14.1,0.5,3.7,38.4,39,12542460,2.94,81.2,30.7,1893539,6.6,84.2,27,43.7,63.7,57.8,27.2,61094,55.3,366400,1224,19.4,16.8,864913,12952818,700102379,2926065,3425510,1685826,1039208,1220581,1995280,239383,2951936,80742,239.1
Colorado,5355866,6.4,23.5,12.3,49.8,88,4.4,1.6,3,0.2,2.8,21,69.4,1977591,2.53,90.2,37,399458,7.1,80.7,9.7,16.8,68.1,63.1,24.5,58433,65.4,236200,939,16,13,153112,2035803,97691175,440482,547770,264270,160102,59647,455065,48822,452490,27517,48.5
Connecticut,3596677,5.3,21.8,15.2,51.2,81.6,11.3,0.5,4.3,0.1,2.1,14.7,69.6,1355849,2.55,89.2,36.5,217947,7,88,13.6,21.5,67.7,63.2,24.8,69461,67.8,278900,1056,10.9,10.7,88210,1463732,84561759,261922,332150,189935,93480,39832,276311,31401,277450,5424,738.1
Delaware,935614,6.1,22,15.9,51.6,71.1,22.1,0.7,3.6,0.1,2.4,8.7,64.1,335707,2.63,87.7,28.9,75081,8.8,86.3,8.4,12.6,63.8,60.1,24.8,59878,72.5,235800,999,10.6,12.4,23861,363688,18315395,56186,74573,38997,19411,11349,57538,7616,58371,4827,460.8
Florida,19893297,5.5,20.6,18.7,51.1,78.1,16.7,0.5,2.7,0.1,1.9,23.6,56.4,7158980,2.61,86.1,26.4,1569406,8.4,83.7,19.4,27.4,59.7,55.6,25.9,46956,67.1,160200,990,24.2,17,502414,6932382,280304784,1775605,2009589,1036446,581096,680069,1228495,176788,1685712,86752,350.6
Georgia,10097343,6.7,24.9,12,51.1,62.5,31.4,0.5,3.7,0.1,1.9,9.2,54.8,3518097,2.71,84.7,28,690208,8.6,83.6,9.7,13.3,63.2,58.6,27,49179,65.1,151300,860,21.2,19,216308,3390540,149290810,797404,901105,475361,278290,263356,603039,97657,742656,36174,168.4
Idaho,1634464,7,26.5,13.8,49.9,93.7,0.8,1.7,1.4,0.2,2.2,11.8,83.1,579797,2.68,88.8,25.1,122955,8.7,82.8,5.9,10.4,63.5,57.8,20,46767,69.8,162100,728,18.6,15.6,42899,493786,17605429,114707,151671,61390,35595,6815,136135,11808,119969,8110,19
